inverter_id,st,pv,mppt,north,east,lat,lon,elev_m,slope_deg,aspect_deg,cross_slope_deg,plane_rms_m,table_east,table_north,table_lat,table_lon
WB01-INV07,2,2,1,9890168.521,459458.582,-0.9936586,116.6356126,71.95,10.23,7.1,1.28,0.198,459459.847,9890170.345,-0.9936421,116.6356239
WB01-INV07,3,3,2,9890161.257,459458.579,-0.9937243,116.6356125,72.38,11.057,6.5,1.27,0.194,459459.847,9890163.077,-0.9937079,116.6356239
WB01-INV07,4,4,2,9890175.842,459474.21,-0.9935924,116.635753,71.53,12.155,3.7,0.8,0.198,459475.447,9890177.613,-0.9935764,116.6357641
WB01-INV07,5,5,3,9890168.564,459474.185,-0.9936582,116.6357528,71.98,11.137,4.0,0.79,0.123,459475.447,9890170.345,-0.9936421,116.6357641
WB01-INV07,6,6,3,9890161.316,459474.215,-0.9937238,116.6357531,72.35,11.212,5.2,1.03,0.185,459475.447,9890163.077,-0.9937079,116.6357641
WB01-INV07,7,7,4,9890175.896,459489.853,-0.9935919,116.6358936,71.51,11.627,0.6,0.12,0.113,459491.047,9890177.613,-0.9935764,116.6359044
WB01-INV07,8,8,4,9890168.581,459489.847,-0.9936581,116.6358936,71.79,10.679,0.8,0.15,0.1,459491.047,9890170.345,-0.9936421,116.6359043
WB01-INV07,9,9,5,9890161.321,459489.862,-0.9937238,116.6358937,72.32,10.697,6.1,1.15,0.226,459491.047,9890163.077,-0.9937079,116.6359043
WB01-INV07,10,10,5,9890175.918,459505.465,-0.9935917,116.6360339,71.85,11.946,4.8,1.01,0.267,459506.647,9890177.613,-0.9935764,116.6360446
WB01-INV07,11,11,6,9890168.595,459505.485,-0.993658,116.6360341,72.01,10.999,2.8,0.54,0.146,459506.647,9890170.345,-0.9936422,116.6360446
WB01-INV07,12,12,6,9890161.368,459505.517,-0.9937234,116.6360344,72.38,10.972,6.5,1.26,0.2,459506.647,9890163.077,-0.9937079,116.6360446
WB01-INV07,13,13,7,9890175.937,459521.023,-0.9935916,116.6361738,71.91,11.621,1.0,0.21,0.137,459522.247,9890177.613,-0.9935764,116.6361848
WB01-INV07,14,14,7,9890168.609,459521.011,-0.9936579,116.6361737,71.95,11.093,1.6,0.31,0.067,459522.247,9890170.345,-0.9936422,116.6361848
WB01-INV07,15,15,8,9890161.35,459521.012,-0.9937236,116.6361737,72.12,10.62,1.5,0.28,0.06,459522.247,9890163.077,-0.9937079,116.6361848
WB01-INV07,16,16,8,9890175.939,459536.602,-0.9935916,116.6363138,71.95,11.539,10.1,2.05,0.319,459537.847,9890177.613,-0.9935764,116.636325
WB01-INV07,17,17,9,9890168.614,459536.574,-0.9936578,116.6363135,71.99,10.789,8.7,1.65,0.23,459537.847,9890170.345,-0.9936422,116.636325
WB01-INV07,18,18,9,9890161.389,459536.629,-0.9937232,116.636314,72.21,10.276,6.2,1.12,0.22,459537.847,9890163.077,-0.9937079,116.636325
WB01-INV08,1,1,1,9890154.019,459458.552,-0.9937898,116.6356123,72.61,9.902,7.4,1.29,0.201,459459.847,9890155.809,-0.9937736,116.6356239
WB01-INV08,2,2,1,9890146.761,459458.685,-0.9938555,116.6356135,73.24,11.717,6.3,1.3,0.181,459459.847,9890148.541,-0.9938394,116.6356239
WB01-INV08,3,3,2,9890139.574,459458.716,-0.9939205,116.6356137,73.63,10.21,7.7,1.38,0.167,459459.847,9890141.273,-0.9939051,116.6356239
WB01-INV08,4,4,2,9890154.039,459474.236,-0.9937897,116.6357532,72.57,10.353,6.3,1.15,0.222,459475.447,9890155.809,-0.9937736,116.6357641
WB01-INV08,5,5,3,9890146.812,459474.234,-0.993855,116.6357532,73.24,10.813,7.0,1.33,0.244,459475.447,9890148.541,-0.9938394,116.6357641
WB01-INV08,6,6,3,9890139.579,459474.306,-0.9939205,116.6357539,73.62,11.989,7.6,1.61,0.27,459475.447,9890141.273,-0.9939051,116.6357641
WB01-INV08,7,7,4,9890154.058,459489.895,-0.9937895,116.635894,72.61,10.538,6.6,1.22,0.242,459491.047,9890155.809,-0.9937737,116.6359043
WB01-INV08,8,8,4,9890146.84,459489.967,-0.9938548,116.6358946,73.04,10.364,7.6,1.39,0.259,459491.047,9890148.541,-0.9938394,116.6359043
WB01-INV08,9,9,5,9890139.627,459489.914,-0.9939201,116.6358941,73.41,11.794,6.4,1.33,0.249,459491.047,9890141.273,-0.9939052,116.6359043
WB01-INV08,10,10,5,9890154.148,459505.577,-0.9937887,116.6360349,72.6,10.834,7.4,1.41,0.229,459506.647,9890155.809,-0.9937737,116.6360445
WB01-INV08,11,11,6,9890146.884,459505.528,-0.9938544,116.6360345,72.86,10.473,10.3,1.89,0.29,459506.647,9890148.541,-0.9938394,116.6360445
WB01-INV08,12,12,6,9890139.626,459505.57,-0.9939201,116.6360349,73.29,12.574,7.3,1.62,0.292,459506.647,9890141.273,-0.9939052,116.6360445
WB01-INV08,13,13,7,9890154.134,459521.021,-0.9937888,116.6361737,72.42,10.783,4.3,0.82,0.184,459522.247,9890155.809,-0.9937737,116.6361848
WB01-INV08,14,14,7,9890146.89,459521.061,-0.9938544,116.6361741,72.65,12.634,2.8,0.63,0.209,459522.247,9890148.541,-0.9938394,116.6361847
